City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
241,Guerrero Negro,MX,78.78,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
250,Bagua Grande,PE,86.04,scattered clouds,-5.7561,-78.4411,HOTELNIEVA
252,Batagay,RU,75.22,few clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
254,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
255,Cabatuan,PH,79.0,light rain,10.8794,122.486,ROREM'S BOARDING HOUSE
256,Jacareacanga,BR,85.17,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
263,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
266,Coahuayana,MX,89.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
277,Itaituba,BR,84.36,broken clouds,-4.2761,-55.9836,Hotel Campos
280,Mahibadhoo,MV,82.76,overcast clouds,3.7833,72.9667,Omadhoo Inn
284,Goderich,CA,80.92,overcast clouds,43.7501,-81.7165,Harmony Inn
289,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
293,Tual,ID,80.2,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
296,Bubaque,GW,78.03,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
300,Mutis,CO,79.41,broken clouds,6.2262,-77.4044,Paraiso Escondido
302,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
303,Weihai,CN,77.05,light rain,37.5017,122.1136,Beihai Travel Resort
311,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
312,Mount Pleasant,US,86.14,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
316,Kota Kinabalu,MY,76.98,scattered clouds,5.9749,116.0724,Gaya Centre Hotel
317,Pafos,CY,80.51,clear sky,34.7667,32.4167,Elysium Hotel
318,Cangzhou,CN,76.12,light rain,38.3167,116.8667,Jinji Express Hotel
322,Hasaki,JP,84.6,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
324,Mahina,PF,83.97,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
327,Alcantara,BR,82.6,few clouds,-2.4089,-44.4147,Pousada da Josefa
332,Padang,ID,77.67,moderate rain,-0.9492,100.3543,Mercure Padang
334,Nantucket,US,79.25,clear sky,41.2835,-70.0995,Jared Coffin House
338,Leavenworth,US,89.71,broken clouds,39.2333,-95.0336,Suncatcher Lake RV Park
339,Griffith,US,89.71,scattered clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
348,Misratah,LY,80.98,clear sky,32.3754,15.0925,فندق الماسة
351,Ajdabiya,LY,83.32,clear sky,30.7554,20.2263,Almadina Hotel
359,Majene,ID,76.17,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
360,Radaur,IN,78.89,broken clouds,30.0333,77.15,Shree Sahid Udham Singh Kamboj Dharamshala
362,Key West,US,90.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
373,Santa Rosalia,MX,88.41,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
374,Kirakira,SB,81.46,scattered clouds,-10.4544,161.9205,SanBiz Lodge
377,Miravci,MK,75.94,clear sky,41.3078,22.435,Rock Village
378,Anloga,GH,77.22,broken clouds,5.7947,0.8973,Pin Drop Hotel
382,Tando Jam,PK,80.42,clear sky,25.4272,68.5362,Sindh Civil Services and Local Government Training Center Hostel
393,Mayo,US,90.0,clear sky,38.8876,-76.5119,Resorts Resource Group International
399,Jacqueville,CI,76.91,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
412,Dhidhdhoo,MV,82.33,overcast clouds,6.8833,73.1,Dhidhoo beach
417,Sabang,ID,82.54,overcast clouds,5.8933,95.3214,Hotel Citra
420,Wanning,CN,81.46,overcast clouds,18.8003,110.3967,Paradise Hotel
421,Jieshi,CN,82.02,moderate rain,22.8134,115.8257,Yuehai Hotel
422,Vanimo,PG,76.69,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
425,Meulaboh,ID,76.19,light rain,4.1363,96.1285,Kost Pria
426,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
427,Linden,GY,82.54,overcast clouds,6.0,-58.3,Crimson Bat Hotel
428,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
432,Santa Cruz,BO,84.25,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
440,Beachwood,US,84.69,clear sky,41.4645,-81.5087,DoubleTree by Hilton Hotel Cleveland East Beachwood
446,Kerema,PG,78.64,broken clouds,-7.9631,145.7785,Frena Lodge
447,Harrison,US,89.67,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
449,Rute,ES,76.64,clear sky,37.3269,-4.3683,El Mirador de Rute
450,Palu,ID,75.83,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
452,Bonthe,SL,77.43,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
455,Benghazi,LY,81.54,clear sky,32.1167,20.0667,Tibesti Hotel
456,Ourossogui,SN,75.2,scattered clouds,15.6064,-13.3211,Hotel welma
463,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
471,Shimoda,JP,82.51,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
473,Aloleng,PH,81.84,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
476,Mount Vernon,US,80.15,light rain,40.9126,-73.8371,Ramada by Wyndham Bronx
481,Kamaishi,JP,76.8,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
484,Gushikawa,JP,80.19,broken clouds,26.3544,127.8686,Kirari Guest House
486,Kavaratti,IN,78.98,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
490,Timizart,DZ,76.53,broken clouds,36.8,4.2667,yefssah restaurant
492,Kalmunai,LK,78.28,overcast clouds,7.4167,81.8167,VS Villa
494,Saint Anthony,US,79.48,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
495,Wanxian,CN,77.23,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
497,Harper,LR,75.94,light rain,4.375,-7.7169,Screensaver
498,Tagusao,PH,80.89,overcast clouds,9.1924,117.8141,Toledo
500,Shymkent,KZ,75.79,clear sky,42.3,69.6,Orbita Boutique Hotel
502,Ucluelet,CA,80.04,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
508,Itarema,BR,79.16,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
509,Monteagudo,BO,80.38,clear sky,-19.8167,-63.9833,"Residencial ""OLIVIA"""
510,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
515,Chillicothe,US,89.96,clear sky,39.3331,-82.9824,Holiday Inn Express Chillicothe East
518,Hede,CN,76.53,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
525,Mehriz,IR,82.9,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
527,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
528,Zhuhai,CN,85.78,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
529,Maneadero,MX,81.19,few clouds,31.7167,-116.5667,Casa De Thompson
531,Huntsville,US,89.42,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
532,Kloulklubed,PW,77.5,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
542,Podor,MR,85.95,clear sky,16.6527,-14.9587,Auberge Du Tékrour
543,Bardiyah,LY,78.6,clear sky,31.7561,25.0865,بورتو بردية
545,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
547,Akhmim,EG,88.0,clear sky,26.5622,31.745,برج الماسة السكني
549,Malpe,IN,76.3,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
551,Prachuap Khiri Khan,TH,75.65,broken clouds,12.2167,99.75,สมบัติยาย
552,Moa,CU,82.45,clear sky,20.6569,-74.9403,Carmen
553,Salobrena,ES,83.1,clear sky,36.7428,-3.5872,Impressive Playa Granada Golf
554,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
557,Morant Bay,JM,85.66,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
558,Hambantota,LK,78.55,overcast clouds,6.1241,81.1185,Bungalow 63
559,Fare,PF,79.39,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
567,Miranda,CO,80.73,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
574,Korla,CN,76.28,overcast clouds,41.7597,86.1469,Gulisitan Hotel
585,Ravar,IR,80.24,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
592,Yatou,CN,76.01,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
593,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
596,Bud,US,87.42,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
597,Sigli,ID,77.41,moderate rain,5.3848,95.9609,Losmen Dua Mali
